name,epochs,best_dev_acc,test_acc,lr,lambda,dropout,tag
baseline_mlp,6,0.9343,0.9386,,,,baseline_mlp
d1_init_he,6,0.9777,0.9783,,,,
d1_init_normal,6,0.9761,0.98,,,,
d1_init_xavier,6,0.9778,0.9809,,,,
d1_optimizer_adam,6,0.9751,0.9775,0.001,,,
d1_optimizer_adamw,6,0.9751,0.9775,0.001,,,
d1_optimizer_momentum,6,0.9753,0.9785,0.05,,,
d1_optimizer_nesterov,6,0.9744,0.9762,0.05,,,
d1_optimizer_sgd,6,0.9422,0.9471,0.05,,,
d1_scheduler_constant,6,0.9751,0.9775,0.001,,,
d1_scheduler_cosine,6,0.9739,0.9782,0.001,,,
d1_scheduler_exp,6,0.9641,0.9666,0.001,,,
d1_scheduler_multistep,6,0.9746,0.9771,0.001,,,
d1_scheduler_step,6,0.9723,0.9759,0.001,,,
d1_scheduler_warmup_cosine,6,0.9739,0.9769,0.001,,,
d2_aug_combined,6,0.9785,0.9813,,,,
d2_aug_noise,6,0.9758,0.9782,,,,
d2_aug_none,6,0.9751,0.9775,,,,
d2_aug_rotate,6,0.9767,0.9801,,,,
d2_aug_shift,6,0.9761,0.9803,,,,
d2_dropout_0.0,6,0.9777,0.9783,,,0.0,
d2_dropout_0.1,6,0.9775,0.9763,,,0.1,
d2_dropout_0.2,6,0.9776,0.981,,,0.2,
d2_dropout_0.3,6,0.9764,0.979,,,0.3,
d2_dropout_0.5,6,0.9738,0.9768,,,0.5,
d2_wd_0.0,6,0.9751,0.9775,,0.0,,
d2_wd_0.0001,6,0.9749,0.9758,,0.0001,,
d2_wd_0.001,6,0.9692,0.9713,,0.001,,
d2_wd_0.01,6,0.9312,0.9354,,0.01,,
d2_wd_1e-05,6,0.9749,0.9778,,1e-05,,
final_cnn,4,0.9849,0.9879,,,,final_cnn
final_mlp,10,0.9834,0.9881,,,,final_mlp
